,NY.GDP.MKTP.KD.ZG_YEAR_2010,CountryCode
0,1.2845354,ABW
1,-3.178893,ADO
2,8.161903,AFG
3,3.939152,AGO
4,3.6744194,ALB
5,3.892976,ARB
6,2.6234741,ARE
7,5.991173,ARG
8,2.462543,ARM
9,-5.3224583,ATG
10,2.3406053,AUS
11,1.9806861,AUT
12,5.8381906,AZE
13,3.9170449,BDI
14,2.6789765,BEL
15,2.9887629,BEN
16,7.3677835,BFA
17,5.1982713,BGD
18,0.807256,BGR
19,4.1813164,BHR
20,0.8281534,BHS
21,1.7668991,BIH
22,4.5874643,BLR
23,3.2067559,BLZ
24,-0.99906397,BMU
25,4.40598,BOL
26,6.4390583,BRA
27,-0.2804892,BRB
28,1.783211,BRN
29,10.332425,BTN
30,7.319579,BWA
31,2.5159497,CAF
32,2.8713887,CAN
33,1.2145517,CEB
34,2.191477,CHE
35,3.4115002,CHI
36,5.181324,CHL
37,10.2708025,CHN
38,2.819422,CIV
39,3.497663,CMR
40,7.7282557,COG
41,4.326471,COL
42,2.918634,COM
43,1.6663389,CPV
44,3.3082967,CRI
45,0.5887561,CSS
46,1.6798222,CUB
47,3.1254978,CYM
48,1.2590208,CYP
49,2.1899326,CZE
50,2.970249,DEU
51,4.244281,DJI
52,1.4655926,DMA
53,2.1297596,DNK
54,4.7985716,DOM
55,3.1680746,DZA
56,8.499629,EAP
57,4.1882434,EAS
58,4.3914623,ECA
59,1.5247189,ECS
60,3.4951468,ECU
61,4.93184,EGY
62,1.5171425,EMU
63,2.8256073,ERI
64,0.87565184,ESP
65,2.4842856,EST
66,9.801668,ETH
67,1.549589,EUU
68,4.079159,FCS
69,1.5735266,FIN
70,3.0969856,FJI
71,1.3369641,FRA
72,1.6917045,FSM
73,5.548213,GAB
74,1.1123013,GBR
75,5.271539,GEO
76,5.9058948,GHA
77,1.4302893,GIN
78,6.2356157,GMB
79,3.2160654,GNB
80,-2.3432794,GNQ
81,-1.6253147,GRC
82,-0.21977997,GRD
83,1.1018903,GRL
84,2.882852,GTM
85,3.4357462,GUY
86,1.9323016,HIC
87,6.3353753,HKG
88,4.0548186,HND
89,4.86646,HPC
90,-0.7449293,HRV
91,0.94575715,HTI
